term_id,term_str,n,num,stop,p_stem
230,1792,1,1,0,1792
231,1793,1,1,0,1793
232,1794,1,1,0,1794
233,1795,3,1,0,1795
234,1796,1,1,0,1796
235,179796639,1,1,0,179796639
236,1798,1,1,0,1798
237,1799,1,1,0,1799
238,17th,3,1,0,17th
239,18,9,1,0,18
240,180,2,1,0,180
241,1800,15,1,0,1800
242,1801,1,1,0,1801
243,1802,2,1,0,1802
244,1803,5,1,0,1803
245,1804,4,1,0,1804
246,1805,4,1,0,1805
247,1806,2,1,0,1806
248,1807,4,1,0,1807
249,1808,4,1,0,1808
250,1809,1,1,0,1809
251,1810,5,1,0,1810
252,1811,1,1,0,1811
253,1812,7,1,0,1812
254,1813,1,1,0,1813
255,1814,3,1,0,1814
256,1815,5,1,0,1815
257,1816,5,1,0,1816
258,1817,4,1,0,1817
259,1818,3,1,0,1818
260,1819,5,1,0,1819
261,181950,1,1,0,181950
262,1820,11,1,0,1820
263,1821,3,1,0,1821
264,1822,5,1,0,1822
265,1824,4,1,0,1824
266,1825,7,1,0,1825
267,1826,1,1,0,1826
268,1827,2,1,0,1827
269,1828,7,1,0,1828
270,1829,10,1,0,1829
271,1830,17,1,0,1830
272,1831,12,1,0,1831
273,1832,8,1,0,1832
274,1833,11,1,0,1833
275,1834,9,1,0,1834
276,1835,15,1,0,1835
277,1836,6,1,0,1836
278,1837,10,1,0,1837
279,18371839,1,1,0,18371839
280,1838,13,1,0,1838
281,1839,8,1,0,1839
282,184,1,1,0,184
283,1840,14,1,0,1840
284,1841,7,1,0,1841
285,1842,7,1,0,1842
286,1843,7,1,0,1843
287,1844,5,1,0,1844
288,1845,6,1,0,1845
289,18456,1,1,0,18456
290,1846,13,1,0,1846
291,1847,14,1,0,1847
292,1848,4,1,0,1848
293,1849,11,1,0,1849
294,1850,24,1,0,1850
295,1851,3,1,0,1851
296,1852,4,1,0,1852
297,1853,8,1,0,1853
298,1854,16,1,0,1854
299,1855,10,1,0,1855
300,185590,1,1,0,185590
301,1856,19,1,0,1856
302,1857,12,1,0,1857
303,1858,22,1,0,1858
304,1859,19,1,0,1859
305,1860,19,1,0,1860
306,1861,12,1,0,1861
307,1861175,1,1,0,1861175
308,1862,5,1,0,1862
309,1863,8,1,0,1863
310,1864,4,1,0,1864
311,1865,11,1,0,1865
312,1866,7,1,0,1866
313,1867,2,1,0,1867
314,1868,9,1,0,1868
315,1869,2,1,0,1869
316,1870,14,1,0,1870
